trackID,acousticness,danceability,duration_ms,energy,instrumentalness,a_key,liveness,loudness,a_mode,speechiness,tempo,time_signature,valence,category
1iilSLhyTDanY7cCPwZ3tl,0.978000,0.642000,174533,0.042200,0.000295,4,0.107000,-21.000000,1,0.042300,134.237000,4,0.331000,blues
3HdPVdqcuD2Qt2QgNogHw7,0.774000,0.392000,282429,0.398000,0.002290,0,0.097000,-9.493000,1,0.032800,180.218000,4,0.715000,blues
7vNiCVFghw336cXSXVqiGG,0.000065,0.340000,236587,0.998000,0.000780,0,0.250000,-2.909000,1,0.209000,160.678000,4,0.120000,metal
4NbmBhEdThmGYpiVakws47,0.964000,0.597000,226160,0.118000,0.001320,6,0.112000,-13.908000,1,0.035800,102.067000,4,0.307000,blues
3ZsexY07D4t4HRq7ogeSAS,0.007250,0.465000,182827,0.896000,0.000000,2,0.206000,-3.126000,1,0.079500,181.014000,4,0.588000,punk
12u5zwcsb50LIhzpPxDI7q,0.581000,0.467000,254960,0.531000,0.029900,9,0.096000,-9.047000,0,0.032500,117.198000,4,0.226000,blues
1mkxMjrjzzXU9mg4S375Zo,0.618000,0.619000,177367,0.697000,0.000315,9,0.241000,-6.167000,1,0.081300,131.123000,4,0.961000,blues
16GdiwewBf99MhUSVsxUBe,0.964000,0.610000,227733,0.078500,0.000140,9,0.090300,-20.543000,1,0.050300,104.233000,4,0.766000,blues
1LkoYGxmYpO6QSEvY5C0Zl,0.000449,0.317000,175200,0.887000,0.000009,0,0.363000,-4.525000,1,0.047200,174.009000,4,0.535000,punk
43NhiKnrtGqztxDqXrcUux,0.039000,0.514000,249754,0.771000,0.000000,0,0.262000,-5.756000,1,0.036400,136.058000,4,0.352000,punk
49OfM5fTeH57u2NN9mIpAW,0.924000,0.831000,225640,0.104000,0.000000,10,0.109000,-14.655000,1,0.053000,106.428000,4,0.571000,blues
3tWudnj1NK7YUfnR91nezW,0.000457,0.567000,178280,0.919000,0.000000,9,0.067900,-5.424000,1,0.065300,98.057000,4,0.632000,punk
1fJFuvU2ldmeAm5nFIHcPP,0.000642,0.582000,171533,0.914000,0.000000,0,0.187000,-4.269000,1,0.041500,95.597000,4,0.846000,punk
4bPQs0PHn4xbipzdPfn6du,0.093800,0.567000,187613,0.795000,0.000000,9,0.114000,-4.985000,0,0.134000,170.060000,4,0.596000,punk
57WUir2snvdr1CakOsgtL7,0.673000,0.511000,201600,0.435000,0.005520,8,0.123000,-14.689000,0,0.034300,105.457000,4,0.608000,blues
2TfSHkHiFO4gRztVIkggkE,0.008980,0.499000,229093,0.824000,0.000000,7,0.163000,-4.741000,1,0.079400,161.977000,4,0.692000,punk
6uJKEvWD4zKL8PGwadftFv,0.872000,0.730000,198387,0.211000,0.190000,0,0.116000,-12.914000,1,0.049700,104.472000,4,0.755000,blues
6BsaK0v4nm49vNd5ccHyRX,0.900000,0.472000,280307,0.048800,0.007990,4,0.112000,-19.635000,0,0.049100,177.555000,3,0.165000,blues
4UuHWIkAWnN176A2rx7YFB,0.000246,0.607000,193000,0.878000,0.000000,4,0.337000,-4.422000,1,0.066500,119.955000,4,0.852000,punk
1U236FYzQEdMWn1hMM0gQn,0.983000,0.434000,347533,0.109000,0.000376,1,0.114000,-15.279000,1,0.035500,93.659000,4,0.247000,blues
3u7EIgAlwNQtxkM4bOA7uI,0.000171,0.568000,207120,0.836000,0.000000,9,0.061300,-6.047000,1,0.050000,116.029000,4,0.764000,punk
1RWAsPQhpizSGmO8YWmS8M,0.837000,0.687000,230027,0.249000,0.003300,9,0.132000,-14.112000,0,0.033800,116.921000,3,0.478000,blues
0GkM9T6C7nzkgWUbK7E2cd,0.746000,0.528000,234907,0.416000,0.008640,9,0.294000,-13.829000,1,0.111000,94.728000,4,0.826000,blues
3VA4sjTMSTTF02hFGmlpJh,0.000218,0.631000,189373,0.793000,0.000057,1,0.097600,-4.086000,0,0.046800,136.960000,4,0.658000,punk
3AkN7wZwvXmhvlSWDMKkbr,0.848000,0.628000,231400,0.195000,0.000051,4,0.095500,-13.054000,1,0.040600,98.527000,4,0.557000,blues
4A0uddUBex0iolIxq1b0km,0.910000,0.728000,338333,0.054000,0.048000,11,0.120000,-22.557000,0,0.038000,78.033000,4,0.437000,blues
3asFGFY3uLjMDmML1p0tYm,0.001640,0.549000,242280,0.930000,0.000067,5,0.390000,-3.468000,0,0.048700,112.447000,4,0.518000,punk
1cYa4SUJNBvpimXnJ5Usyk,0.873000,0.666000,180527,0.247000,0.006560,1,0.107000,-13.273000,1,0.047000,79.403000,4,0.739000,blues
4rLKjYqJjLU0Odg52kGL2O,0.001150,0.420000,158733,0.952000,0.000057,7,0.294000,-4.930000,1,0.257000,191.977000,4,0.510000,punk
4gFPqVg2MRvQGkSo7PhkOd,0.511000,0.714000,247907,0.596000,0.007180,2,0.059300,-8.288000,1,0.028800,141.496000,4,0.658000,blues
1VpTwecl7EbQiGyVsvwFQE,0.000232,0.420000,192787,0.968000,0.000000,9,0.079600,-2.353000,0,0.123000,171.004000,4,0.392000,punk
2JzzNrPISePwHyTFIAYrg9,0.002230,0.623000,180747,0.741000,0.000089,7,0.090000,-6.070000,1,0.037000,87.893000,3,0.585000,country
4nUYpn4fqJSnPBRRpKIshI,0.147000,0.556000,171680,0.986000,0.000000,5,0.090500,-3.667000,1,0.205000,97.592000,4,0.301000,punk
6IxQ0PdozaZKch1m8tGCwb,0.002890,0.335000,230427,0.858000,0.000000,7,0.148000,-4.565000,1,0.053200,177.981000,4,0.442000,punk
5MqLa8StTmi9jGQGkQWsvC,0.668000,0.513000,219875,0.351000,0.000000,10,0.133000,-7.605000,1,0.026000,78.713000,4,0.228000,country
6rMdkAEBzaqtrPpH9bUrAU,0.057100,0.380000,293027,0.847000,0.013400,4,0.181000,-6.041000,0,0.078600,165.956000,4,0.287000,punk
4j08A1efdJcVINBHSmQKPS,0.001340,0.528000,211733,0.897000,0.000000,2,0.190000,-5.943000,1,0.058900,125.009000,4,0.288000,punk
7dN52YlyGl6c9tmxdv6zMp,0.000289,0.217000,311107,0.905000,0.000110,2,0.222000,-4.103000,1,0.075200,96.950000,4,0.225000,punk
5SexQfrzlUXaW3SRlceVEt,0.374000,0.635000,214053,0.579000,0.000004,4,0.071500,-7.872000,1,0.051700,135.974000,4,0.106000,country
